KECAMATAN,PUSKESMAS,Desa_Kelurahan,Data_tersedia,Stunting1805,Selisih,JKN_BPJS_Belum_ada_data,JKN_BPJS_Ya,JKN_BPJS_Tidak,AirBersih_Belum_ada_data,AirBersih_Ya,AirBersih_Tidak,Kecacingan_Belum_ada_data,Kecacingan_Ya,Kecacingan_Tidak,JambanSehat_Belum_ada_data,JambanSehat_Ya,JambanSehat_Tidak,Imunisasi_Belum_ada_data,Imunisasi_Ya,Imunisasi_Tidak,MerokokKeluarga_Belum_ada_data,MerokokKeluarga_Ya,MerokokKeluarga_Tidak,RiwayatIbuHamil_Belum_ada_data,RiwayatIbuHamil_Ya,RiwayatIbuHamil_Tidak,PenyakitPenyerta_Belum_ada_data,PenyakitPenyerta_Ya,PenyakitPenyerta_Tidak
BOGOR_SELATAN,BOGOR_SELATAN,RANGGAMEKAR,8,43,-35,0,6,0,0,7,0,0,0,6,0,7,0,0,7,0,0,6,0,0,0,6,0,0,7
BOGOR_SELATAN,BOGOR_SELATAN,BATUTULIS,2,9,-7,0,2,0,0,2,0,0,0,1,0,2,0,0,2,0,0,1,0,0,0,2,0,0,1
BOGOR_SELATAN,MULYA_HARJA,MULYAHARJA,39,39,0,0,6,0,0,37,0,0,0,37,0,11,0,0,6,0,0,6,0,0,0,11,0,0,2
BOGOR_SELATAN,MULYA_HARJA,pamoyanan,34,35,-1,0,10,0,0,20,0,0,0,19,0,12,0,0,2,0,0,3,0,0,0,10,0,0,13
BOGOR_SELATAN,CIPAKU,GENTENG,6,6,0,0,6,0,0,6,0,0,6,0,0,6,0,0,5,1,1,5,0,0,1,5,0,0,6
BOGOR_SELATAN,CIPAKU,KERTAMAYA,7,8,-1,0,3,4,0,7,0,0,1,6,0,7,0,0,3,4,0,7,0,0,1,6,0,0,7
BOGOR_SELATAN,CIPAKU,RANCAMAYA,7,7,0,0,5,2,0,7,0,0,1,6,0,7,0,0,2,5,0,7,0,0,0,7,0,0,7
BOGOR_SELATAN,CIPAKU,BOJONGKERTA,13,14,-1,0,6,7,0,13,0,0,0,13,0,13,0,0,6,7,0,12,1,0,1,12,0,0,13
BOGOR_SELATAN,CIPAKU,CIPAKU,11,11,0,1,4,6,1,10,0,2,0,9,1,0,10,1,7,3,2,9,0,1,0,10,1,0,10
BOGOR_SELATAN,BONDONGAN,BONDONGAN,8,10,-2,2,8,0,3,7,0,3,0,7,2,8,0,2,8,0,2,8,0,2,0,8,2,1,7
BOGOR_SELATAN,BONDONGAN,EMPANG,10,10,0,1,9,0,1,9,0,1,1,8,1,0,9,1,0,9,2,8,0,1,0,9,1,0,9
BOGOR_SELATAN,BONDONGAN,CIKARET,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOGOR_SELATAN,LAWANG_GINTUNG,HARJASARI,6,6,0,0,2,4,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,0,1,5,0,0,6
BOGOR_SELATAN,LAWANG_GINTUNG,MUARASARI,5,5,0,0,3,2,0,5,0,0,0,5,0,5,0,0,5,0,0,5,0,0,0,5,0,0,5
BOGOR_SELATAN,LAWANG_GINTUNG,PAKUAN,2,2,0,0,2,0,0,2,0,0,0,2,0,2,0,0,2,0,0,2,0,0,0,2,0,0,2
BOGOR_SELATAN,LAWANG_GINTUNG,LAWANGGINTUNG,3,3,0,0,1,2,0,3,0,0,0,3,0,3,0,0,3,0,0,3,0,0,1,2,0,0,0
BOGOR_TIMUR,BOGOR_TIMUR,KATULAMPA,43,45,-2,0,40,3,0,43,0,0,1,42,0,43,0,0,43,0,0,40,3,0,5,38,0,1,42
BOGOR_TIMUR,BOGOR_TIMUR,BARANANGSIANG,39,45,-6,0,29,0,0,39,0,0,0,36,0,39,0,0,39,0,0,36,0,0,0,32,0,0,39
BOGOR_TIMUR,PULO_ARMYN,SINDANGSARI,5,11,-6,0,5,0,0,5,0,0,0,5,0,4,1,0,5,0,0,5,0,0,0,5,0,0,5
BOGOR_TIMUR,PULO_ARMYN,SINDANGRASA,20,20,0,0,20,0,0,20,0,0,0,20,0,20,0,0,20,0,0,20,0,0,0,20,0,0,15
BOGOR_TIMUR,PULO_ARMYN,TAJUR,3,5,-2,0,3,0,0,3,0,0,0,3,0,3,0,0,3,0,0,3,0,0,0,3,0,0,3
BOGOR_TIMUR,PULO_ARMYN,SUKASARI,10,11,-1,0,9,0,0,9,0,0,0,9,0,8,0,0,9,0,0,7,0,0,0,9,0,0,8
BOGOR_UTARA,BOGOR_UTARA,TANAH_BARU,11,39,-28,0,10,0,0,10,0,0,0,10,0,9,0,0,10,0,0,10,0,0,0,4,0,0,10
BOGOR_UTARA,BOGOR_UTARA,CIMAHPAR,44,44,0,0,27,17,0,44,0,0,2,42,0,43,1,0,44,0,0,40,4,0,9,35,0,1,43
BOGOR_UTARA,BOGOR_UTARA,CIBULUH,20,20,0,0,15,5,0,20,0,0,0,20,0,19,1,0,20,0,0,18,2,0,5,15,0,0,20
BOGOR_UTARA,WARUNG_JAMBU,CILUAR,43,43,0,0,13,0,0,18,0,0,0,0,0,0,11,0,19,0,0,12,0,0,0,13,0,0,17
BOGOR_UTARA,WARUNG_JAMBU,KEDUNGHALANG,12,37,-25,0,10,0,0,12,0,0,0,5,0,10,0,0,12,0,0,7,0,0,0,11,0,0,12
BOGOR_UTARA,WARUNG_JAMBU,CIPARIGI,46,46,0,0,14,0,0,16,0,0,0,0,0,10,0,0,15,0,0,12,0,0,0,11,0,0,16
BOGOR_UTARA,TEGAL_GUNDIL,BANTARJATI,30,30,0,0,26,4,0,30,0,0,0,30,0,27,0,0,30,0,0,27,0,0,0,25,0,0,0
BOGOR_UTARA,TEGAL_GUNDIL,TEGALGUNDIL,39,40,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOGOR_TENGAH,BOGOR_TENGAH,PABATON,1,2,-1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
BOGOR_TENGAH,BOGOR_TENGAH,CIBOGOR,16,17,-1,3,12,1,0,16,0,1,0,15,0,16,0,1,14,1,1,0,15,6,0,10,0,0,16
BOGOR_TENGAH,MERDEKA,PANARAGAN,20,20,0,0,18,0,0,18,0,0,0,18,0,19,0,0,18,0,0,18,0,0,0,0,0,0,11
